3D打印	to 3D print
圣诞卡	Christmas card
圣诞岛	Christmas Island
圣诞帽	Santa hat
圣诞快乐	Merry Christmas
圣诞树	Christmas tree
圣诞红	poinsettia
圣诞老人	Father Christmas
圣诞节	Christmas time
圣诞花	poinsettia
圣诞颂	A Christmas Carol by Ch…
圣谕	imperial edict
圣贤	a sage
圣贤书	holy book
圣赫勒拿	St Helena
圣赫勒拿岛	Saint Helena
圣路易斯	St Louis
圣躬	the Emperor's body
圣迹	holy relic
圣雄	sage hero
圣餐	Holy Communion
圣餐台	altar
圣马利诺	San Marino
圣马力诺	San Marino
圣马洛	St Malo
在一起	together
在下	under
在下面	underneath
在世	to be alive
在乎	to rest with
在于	to rest with
在任	to be in office
在位	to be on the throne
在位时代	reign
在先	to come first
在内	in it
在前	ahead
在华	within China
在即	near at hand
在台	in Taiwan
在后	behind
在地	local
在地下	underground
在场	to be present
在外	outer
在天之灵	soul and spirit of the …
在家	to be at home
在岗	to be at one's post
在座	to be present
在建	under construction
在意	to care about
在我看	in my opinion
在我看来	in my opinion
在户外	outdoors
在所不计	irrespective of
在所不辞	not to refuse to
在所难免	to be unavoidable
在握	to hold in one's hands
在教	to be a believer
在旁	alongside
在望	within view
在朝	sitting
在来米	long-grained non-glutin…
在校	to be enrolled in a sch…
在此	hereto
在此之前	before that
在此之后	after this
在此之际	meanwhile
在此后	after this
在深处	deeply
在理	reasonable
在线	online
在编	having permanent status…
在职	to be employed
在职训练	on-the-job training
在行	to be adept at sth
在诉讼期间	pendente lite
在读	to be studying
在身	to possess
在这之前	before then
在这期间	during time
在逃	to be at large
在途	in transit
在那儿	just ...ing
在野	to be out of  office
在野党	opposition party
圭亚那	Guyana
地三鲜	dish consisting of stir…
地上	on the ground
地下	underground
地下室	basement
地下情	secret love affair
地下核爆炸	nuclear underground bur…
地下核试验	underground nuclear test
地下水	groundwater
地下茎	underground stem
地下街	underground shopping ar…
地下通道	underground passage
地下道	underground passage
地下钱庄	underground bank
地下铁路	subway
地中海	Mediterranean Sea
地中海贫血	thalassemia
地主	landlord
地主家庭	land-owning household
地主队	home team
地主阶级	the landlord class
地久天长	enduring while the worl…
地书	writing on the ground w…
地产	real estate
地产大亨	Monopoly
地产税	property tax
地亩	area of farmland
地价	land price
地位	position
地保	local constable
地儿	place
地利	favorable location
地利人和	favorable geographical …
地力	fertility
地动	earthquake
地动仪	the world's first seism…
地动山摇	the earth quaked
地势	terrain
地勤	ground service
地勤人员	ground crew
地区	region
地区冲突	local or regional confr…
地区差价	local differences in pr…
地区性	regional
地区法院	regional court
地区经济	local economy
地台	floor
地名	place name
地和	earthly hand
地图	map
地图册	atlas
地图集	collection of maps
地地道道	thoroughgoing
地址	address
地址解析协议	address resolution prot…
地块	parcel of land
地坛	Temple of Earth
地垄	lines on ridges on plou…
地域	area
地基	foundations
地堑	trench
地堡	bunker
地塞米松	dexamethasone
地壳	the Earth's crust
地壳运动	crustal movement
地处	to be located at
地大物博	vast territory with abu…
地头	place
地头蛇	local bully
地契	title deed
地委	prefectural Party commi…
地宫	underground palace
地对空导弹	ground-to-air missile
地层	stratum
地层学	stratigraphy
地市	prefecture-level admini…
地市级	prefecture level
地带	zone
地幔	mantle
地平线	horizon
地广人稀	vast
地底	subterranean
地府	hell
地形	topography
地形图	topographic map
地心	the earth's core
地心吸力	gravitation
地心引力	earth's gravity
地心纬度	geocentric latitude
地心说	geocentric theory
地拉那	Tirana
地排车	handcart
地接	local guide
地推	on-the-ground promotion
地摊	roadside stall
地支	the 12 earthly branches…
地方	region
地方主义	regionalism
地方官	local official
地方性	local
地方性斑疹伤寒	murine typhus fever
地方戏	local Chinese opera
地方戏曲	local Chinese opera
地方法院	county court
地方自治	local autonomy
地暖	underfloor heating
地板	floor
地板价	floor price
地板砖	floor tile
地标	landmark
地核	core of the earth
地栽	to grow in open ground
地检署	district prosecutor's o…
地步	stage
地段	section
地毯	carpet
地毯式轰炸	carpet bombing
地毯拖鞋	carpet slippers
地沟油	illegally recycled wast…
地洞	tunnel
地滑	landslide
地滚球	ten-pin bowling
地漏	drain
地炉	fire pit
地点	place
地热	geothermal heat
地热发电厂	geothermal electric pow…
地热电站	geothermal electric pow…
地热能	geothermal energy
地热资源	geothermal resources
地牢	prison
地狭人稠	small and densely popul…
地狱	hell
地狱笑话	transgressive humor tha…
地球	the earth
地球仪	globe
地球化学	geochemistry
地球同步卫星	geosynchronous satellite
地球同步轨道	geosynchronous orbit
地球村	global village
地球物理	geophysics
地球物理学	geophysics
地球磁场	earth's magnetic field
地球科学	earth science
地球轨道	Earth orbit
地球静止轨道	geostationary orbit
地理	geography
地理位置	geographical location
地理学	geography
地理学家	geographer
地理定位	geolocation
地理极	geographic pole
地理纬度	geographic latitude
地瓜	sweet potato
地瓜干	dried sweet potato slic…
地瓜面	sweet potato or yam noo…
地痞	bully
地皇	Earthly Sovereign
地皮	lot
地盘	domain
地砖	floor tile
地磁	Earth's magnetic field
地磁场	the earth's magnetic fi…
地磁暴	geomagnetic storm
地租	land rent
地积	land area
地税	local tax
地穴	pit
地窖	cellar
地窨子	cellar
地笼	cage-like fish trap
地籍	cadaster
地精	gnome
地级	prefecture-level
地级市	prefecture-level city
地线	earth
地缘	geographic situation
地缘战略	geostrategic
地缘政治	geopolitics
地缘政治学	geopolitics
地老天荒	see 天荒地老
地脉	geographical position a…
地脚	footer
地藏王菩萨	Kṣitigarbha Bodhisattva
地藏菩萨	Kṣitigarbha Bodhisattva
地衣	lichen
地表	the surface
地表水	surface water
地西泮	diazepam
地角天涯	The ends of the earth
地貌	landform
地质	geology
地质学	geology
地质学家	geologist
地质年代表	geological time scale
地质年表	geological time scale
地躺拳	Di Tang Quan - "Ground-…
地轴	the earth's axis
地速	groundspeed
地道	tunnel
地邻	neighbor on farmland
地钱	liverwort
地铁	underground railway
地铁站	subway station
地陪	local guide
地雷	land mine
地震	earthquake
地震仪	seismometer
地震区	seismic zone
地震学	seismology
地震学家	seismologist
地震局	earthquake bureau
地震带	seismic zone
地震波	seismic wave
地震活动带	seismic zone
地震烈度	earthquake intensity
地震速报	real-time report of ear…
地面	floor
地面层	ground floor
地面控制	ground control
地面核爆炸	surface nuclear explosi…
地面气压	ground pressure
地面水	surface water
地面灌溉	surface irrigation
地面部队	ground troops
地面零点	Ground Zero
地鳖	Chinese ground beetle
地黄	Chinese foxglove
地龙	earthworm
地𬷕	see 大鴇|大鸨
场区	section of a court or p…
场区应急	site area emergency
场合	situation
场地	space
场地自行车	track bike
场外应急	general emergency
场子	gathering place
场所	location
场景	scene
场次	the number of showings …
场记	script supervisor
场记板	clapperboard
场论	field theory
场院	threshing floor
场面	scene
场馆	sporting venue
坂本	Sakamoto
均一	even
均值	average value
均分	to split
均势	equilibrium of forces
均匀	even
均匀性	homogeneity
均变论	uniformitarianism
均可	all are OK
均差	divided differences
均摊	to share equally
均方	mean square
均沾	to share
均湿	to moisten evenly
均热	to heat evenly
均田制	equal-field system of W…
均等	equal
均等化	to equalize
均线	moving average
均衡	equal
均衡器	equalizer
均质	homogenous
坊子	see 坊子區|坊子区
坊子区	Fangzi
坊间	street stalls
坊间传言	rumors
坍塌	to collapse
坍方	to collapse
坎儿	critical juncture
坎儿井	karez
坎坎	just now
坎坷	bumpy
坎坷不平	potholed and bumpy road
坎坷多舛	full of trouble and mis…
坎城	Cannes
坎培拉	Canberra
坎塔布连	Cantabria in north Spain
坎塔布连山脉	Cantabrian mountain ran…
坎塔布连海	Bay of Biscay
坎塔布里亚	Cantabria
坎大哈	Kandahar
坎大哈省	Kandahar province of Af…
坎子	raised ground
坎帕拉	Kampala
坎德拉	candela
坎特伯雷	Canterbury
坎特伯雷故事集	The Canterbury Tales
坎肩	sleeveless jacket
坎肩儿	erhua variant of 坎肩
坎贝尔	Campbell
坎贝尔侏儒仓鼠	Campbell's dwarf hamster
坏东西	bastard
坏了	shoot!
坏事	bad thing
坏人	bad person
坏分子	bad element
坏包儿	rascal
坏处	harm
坏家伙	bad guy
坏掉	to get broken
坏死	necrosis
坏水	evil tricks
坏疽	gangrene
坏种	bad kind
坏笑	to smirk
坏脾气	bad temper
坏蛋	bad egg
坏血病	scurvy
坏话	unpleasant talk
坏账	bad debt
坐下	to sit down
坐不垂堂	lit. don't sit under th…
坐井观天	lit. to view the sky fr…
坐享	to enjoy  without lifti…
坐享其成	to reap where one has n…
坐以待毙	to sit and wait for dea…
坐便器	pedestal type WC
坐像	seated image
坐冷板凳	to hold an inconsequent…
坐力	see 後坐力|后坐力
坐化	to die in a seated post…
坐卧不宁	to be restless
坐台	to work as a hostess in…
坐台小姐	bar girl
坐吃享福	vegetative existence
坐吃山空	lit. just sitting and e…
坐商	tradesman
坐垫	cushion
坐大	to become powerful or i…
坐失	to let sth slip by
坐失机宜	to sit and waste a good…
坐失良机	to sit and waste a good…
坐好	to sit properly
坐姿	sitting posture
坐定	to be seated
坐实	to serve as evidence for
坐山观虎斗	lit. sit on the mountai…
坐席	seat
坐探	inside informer
坐收渔利	benefit from others' di…
坐月子	to convalesce for a mon…
坐果	to bear fruit
坐标	coordinate
坐标法	method of coordinates
坐标空间	coordinate space
坐标系	coordinate system
坐浴盆	bidet
坐牢	to be imprisoned
坐班	to work office hours
坐班房	to be in prison
坐电梯	to take an elevator
坐禅	to sit in meditation
坐立不安	lit. agitated sitting o…
坐立难安	unable to sit or stand …
坐等	to sit and wait
坐而论道	to sit and pontificate
坐药	suppository
坐落	to be situated
坐观成败	to sit and await succes…
坐视	to stand by and watch
坐视不理	to sit and watch
坐车	to take the car
坐镇	to keep watch
坐骑	saddle horse
坐骨	ischium
坐骨神经	sciatic nerve
坐骨神经痛	sciatica
坑井	galleries and pits
坑人	to cheat
坑口	Hang Hau
坑坑洼洼	full of pits and hollows
坑害	to trap
坑木	pit prop
坑杀	to bury alive
坑洞	hole
坑洼	hole
坑爹	to get one's father inv…
坑蒙	to swindle
坑蒙拐骗	to swindle
坑道	mine shaft
坑骗	to cheat
块体	a block
块儿八毛	one yuan or less
块垒	gloom
块头	size
块根	root tuber
块煤	lump coal
块状	lump
块茎	a  tuber
块菌	truffle
块规	a gauge block
坚不可摧	invulnerable
坚信	to believe firmly
坚信礼	confirmation
坚冰	ice
坚决	firm
坚固	firm
坚固性	firmness
坚壁	to cache
坚壁清野	to fortify defenses and…
坚如磐石	solid as a boulder
坚守	to hold fast to
坚定	firm
坚定不移	unswerving
坚定性	firmness
坚实	firm and substantial
坚强	staunch
坚强不屈	staunch and unyielding
坚忍	persevering
坚忍不拔	fortitude
坚持	to persevere with
坚持下去	to press on
坚持不懈	to persevere unremittin…
坚持不渝	to stick to sth without…
坚振礼	confirmation
坚挺	firm and upright
坚明	to consolidate and clar…
坚果	nut
坚毅	firm and persistent
坚硬	hard
坚称	to claim
坚若磐石	rock-solid
坚苦卓绝	persisting despite tria…
坚贞	firm
坚贞不屈	faithful and unchanging
坚贞不渝	unyielding integrity
坚韧	tough and durable
坛子	jug
坞堡	small fortress
坟丘	a tomb
坟包	grave mound
坟地	graveyard
坟场	cemetery
坟墓	grave
坟头	burial mound
坟山	hill cemetery
坟茔	grave
坠亡	to fall to one's death
坠入	to drop into
坠入情网	to fall in love
坠入爱河	to fall in love
坠子	weight
坠机	airplane crash
坠楼	to fall off or jump off…
坠毁	to fall to the ground a…
坠海	to fall into the ocean
坠琴	same as 墜胡|坠胡
坠胡	two-stringed bowed inst…
坠落	to fall
坠饰	pendant
坠马	to fall off a horse
坡县	Singapore
坡垒	Hainan hopea
坡头	see 坡頭區|坡头区
坡头区	Potou
坡度	gradient
坡路	sloping road
坡道	road on a slope
坡鹿	Eld's deer
坤包	woman's handbag or shou…
坦佩雷	Tampere
坦克	tank
坦克车	tank
坦博拉	Tambora
坦噶尼喀	Tanganyika
坦噶尼喀湖	Lake Tanganyika in East…
坦承	to confess
坦桑尼亚	Tanzania
坦然	calm
坦然无惧	remain calm and undaunt…
坦率	frank
坦白	honest
坦荡	magnanimous
坦言	to say candidly
坦诚	candid
坦诚相见	to trust one another fu…
坦途	highway
坦陈	to reveal
坨子	lump
坩埚	crucible
坪山	see 坪山區|坪山区
坪山区	Pingshan
坪林	Pinglin township in New…
坪林乡	Pinglin township in New…
坯子	base
坯布	unbleached and undyed c…
坯料	semifinished materials
坷垃	clod
垂下	to hang down
垂体	pituitary gland
垂危	close to death
垂垂	gradually
垂头丧气	hanging one's head disp…
垂帘听政	lit. to govern from beh…
垂念	to be so kind as to thi…
垂悬分词	dangling participle
垂挂	to hang down
垂暮之年	old age
垂杨柳	weeping willow
垂柳	weeping willow
垂死	dying
垂死挣扎	deathbed struggle
垂泣	to shed tears
垂泪	to shed tears
垂涎	to drool
垂涎三尺	to drool
垂涎欲滴	to drool with desire
垂直	perpendicular
垂直和短距起落飞机	vertical or short takeo…
垂直尾翼	tailfin
垂直线	vertical line
垂直起落飞机	vertical takeoff and la…
垂直轴	vertical shaft
垂线	perpendicular line
垂老	approaching old age
垂范	to set a shining example
垂钓	angling
垂青	to show appreciation fo…
垂髫	hair hanging down
垃圾	trash
垃圾分类	waste sorting
垃圾堆	garbage heap
垃圾工	garbage collector
垃圾桶	rubbish bin
垃圾电邮	see 垃圾郵件|垃圾邮件
垃圾箱	rubbish can
垃圾股	junk bonds
垃圾车	garbage truck
垃圾邮件	junk mail
垃圾食品	junk food
垄断	to monopolize
垄沟	furrow
型号	model
型材	extruded profile
型板	template
型男	fashionable and good-lo…
垒球	softball
垒砌	to build a structure ou…
垓下	ancient place name
垛口	crenel
垣曲县	Yuanqu
垦丁国家公园	Kenting National Park o…
垦利	see 墾利區|垦利区
垦利区	Kenli
垦殖	to open up land for cul…
垦荒	to open up land
垫上	to pay for sb
垫付	to pay sb else's expens…
垫圈	to spread litter in a c…
垫子	cushion
垫平	to level
垫底	to put sth on the bottom
垫底儿	erhua variant of 墊底|垫底
垫支	to advance funds
垫料	packing material
垫款	advance
垫江	see 墊江縣|垫江县
垫江县	Dianjiang
垫片	spacer
垫肩	shoulder pad
垫背	to serve as a sacrifici…
垫脚	litter
垫脚石	stepping stone
垫补	to cover a shortfall by…
垫被	mattress
垫高	a support
垭口	narrow mountain pass
垮台	to collapse
垮塌	to collapse
埂子	strip of high ground
埃克托	Hector
埃利斯岛	Ellis Island
埃博拉	Ebola
埃博拉病毒	Ebola virus
埃及	Egypt
埃及古物学	Egyptology
埃因霍温	Eindhoven
埃塔	ETA
埃塞	Ethiopia
埃塞俄比亚	Ethiopia
埃夫伯里	Avebury
埃奥罗斯	Aeolus
埃尔南德斯	Hernández
埃尔多安	Recep Tayyip Erdoğan
埃尔帕索	El Paso
埃尔朗根	Erlangen
埃尔朗根纲领	Felix Klein's Erlangen …
埃尔福特	Erfurt
埃尔金	James Bruce
埃尔金大理石	the Elgin Marbles
埃布罗	Ebro river
埃布罗河	Ebro River
埃弗顿	Everton
埃德加	Edgar
埃德加·斯诺	Edgar Snow
埃德加·爱伦·坡	Edgar Allen Poe
埃德蒙	Edmund
埃德蒙顿	Edmonton
埃拉特	Eilat
埃文斯	Evans
埃文河畔斯特拉特福	Stratford-upon-Avon
埃斯库多	escudo
埃斯库罗斯	Aeschylus
埃斯特哈齐	Esterhazy
埃斯特朗	Anders Jonas Angstrom o…
埃格尔松	Egersund
埃森	Essen
埃森哲	Accenture
埃森纳赫	Eisenach
埃涅阿斯	Aeneas
埃涅阿斯纪	Virgil's Aeneid
埃特纳火山	Mt Etna
埃琳娜	Elena
埃米	angstrom
埃米尔	emir
埃菲尔铁塔	Eiffel Tower
埃迪卡拉	Ediacaran
埃迪卡拉纪	Ediacaran period
埃里温	Yerevan
埃隆·马斯克	Elon Musk
埇桥	see 埇橋區|埇桥区
埇桥区	Yongqiao
埋伏	to ambush
埋单	to pay the bill
埋名	to conceal one's identi…
埋天怨地	lit. to blame the heave…
埋头	to immerse oneself in
埋头苦干	to bury oneself in work
埋怨	to complain
埋汰	dirty
埋没	to engulf
埋点	event tracking
埋线	sunken cord
埋葬	to bury
埋藏	to bury
埋设	to install  underground
埋首	to immerse oneself in
城东	see 城東區|城东区
城东区	Chengdong
城中	see 城中區|城中区
城中区	Chengzhong
城中村	village within a city
城乡	city and countryside
城关	see 城關區|城关区
城关区	Chengguan
城北	see 城北區|城北区
城北区	Chengbei
城区	Cheng District or Cheng…
城厢区	Chengxiang
城口	see 城口縣|城口县
城口县	Chengkou
城固	see 城固縣|城固县
城固县	Chenggu
城址	townsite
城垣	city wall
城域网	metropolitan area netwo…
城堡	castle
城墙	city wall
城外	outside of a city
城子河	see 城子河區|城子河区
城子河区	Chengzihe
城市	city
城市依赖症	"urban dependence disea…
城市化	urbanization
城市规划	town planning
城市运动会	National Intercity Games
城府	subtle
城根	sections of a city clos…
城楼	city gate tower
城步县	see 城步苗族自治縣|城步苗族自治县
城步苗族自治县	Chengbu Miao Autonomous…
城池	city
城管	local government bylaw …
城西	see 城西區|城西区
城西区	Chengxi
城运会	abbr. for 城市運動會|城市运动会
城邑	towns
城邦	a city state
城郊	suburbs
城郭	a city wall
城里人	city dweller
城铁	rapid transit system
城镇	town
城镇化	urbanization
城镇化水平	urbanization level
城门	city gate
城阙	watchtower on either si…
城防	city defense
城阳	see 城陽區|城阳区
城阳区	Chengyang
城隍	Shing Wong
域名	domain name
域名抢注	cybersquatting
域名服务器	domain name server
域名注册	domain name registration
域外	outside the country
埠头	wharf
埤头乡	Pitou Township in Chang…
培养	to cultivate
培养基	culture medium
培养液	culture fluid
培养皿	Petri dish
培勒兹	Perez
培土	to earth up
培根	bacon
培植	to cultivate
培育	to train
培训	to cultivate
培训班	training class
基业	foundation
基于	because of
基体	base body
基佬	gay guy
基准	datum
基加利	Kigali
基友	very close same-sex fri…
基因	gene
基因修改	genetic modification
基因图谱	mapping of genome
基因型	genotype
基因学	genetics
基因工程	genetic engineering
基因库	gene bank
基因座	locus
基因技术	gene technology
基因改造	genetic modification
基因治疗	gene therapy
基因码	genetic code
基因突变	genetic mutation
基因组	genome
基团	radical
基地	al-Qaeda
基地恐怖组织	Al-Qaeda
基地组织	Al-Qaeda
基址	foundation
基坑	foundation groove
基多	Quito
基孔肯雅热	chikungunya fever
基尔	Kiel
基尼系数	Gini coefficient
基层	basic level
基岩	bedrock
基布兹	kibbutz
基希讷乌	Chişinău or Chisinau
基带	baseband
基床	foundation
基底	plinth
基底动脉	basilar artery
基底细胞癌	basal cell carcinoma
基座	underlay
基建	capital construction
基情	bromance
基拉韦厄	Kilauea
基操	the norm
基数	cardinal number
基数词	cardinal numeral
基本	basic
基本上	basically
基本利率	base rate
基本功	basic skills
基本单位	basic unit
基本原则	fundamental doctrine
基本原理	fundamental principle
基本多文种平面	basic multilingual plane
基本定理	fundamental theorem
基本概念	basic concept
基本法	basic law
基本点	key point
基本盘	voter base
基本粒子	elementary particle
基本词汇	basic word
基本需要	basic necessity
基本面	basics
基材	substrate
基板	substrate
基极	base electrode
基桑加尼	Kisangani
基桩	foundation piles
基民	fund investor
基民党	Christian democratic pa…
基波	fundamental
基点	base
基督	Christ
基督圣体节	Corpus Christi
基督城	Christchurch
基督徒	Christian
基督教	Christianity
基督教徒	a Christian
基督教民主联盟	Christian Democratic Un…
基督教派	Christian denomination
基督教科学派	Christian Science
基督新教	Protestantism
基石	foundation stone
基础	base
基础教育	elementary education
基础病	underlying medical cond…
基础结构	infrastructure
基础设施	infrastructure
基础设施即服务	infrastructure as a ser…
基础课	basic course
基础速率	basic rate
基础问题	basic issue
基站	base station
基线	baseline
基肥	base fertilizer
基诺	Jino ethnic group
基诺族	Jino ethnic group
基调	main key
基谐波	fundamental frequency
基质	base solvent
基质膜	basal plasma membrane
基辅	Kyiv or Kiev
基辅罗斯	Kievan Rus'
基辛格	Henry Kissinger
基里巴斯	Kiribati
基里巴斯共和国	Kiribati
基金	fund
基金会	foundation
基隆市	Chilung or Keelung
基面	ground plane
基音	fundamental tone
基频	fundamental frequency
埼玉	Saitama
堂侄	nephew by the male line
堂倌	waiter
堂兄	older male patrilineal …
堂兄弟	father's brother's sons
堂吉诃德	Don Quixote
堂哥	older male patrilineal …
堂堂	grand
堂堂正正	displaying strength and…
堂妹	younger female patrilin…
堂姊	older female patrilinea…
堂姊妹	father's brother's daug…
堂姐	older female patrilinea…
堂姐夫	husband of older female…
堂嫂	wife of older male cous…
堂屋	central room of a tradi…
堂弟	younger male patrilinea…
堂房	remote relatives
堂皇	imposing
堂而皇之	overt
堂食	to eat in
堆叠	to pile up
堆垒	to pile up
堆垒数论	additive number theory
堆堆帽	slouchy beanie
堆放	to pile up
堆栈	stack
堆案盈几	lit. piles of work and …
堆满	to pile up
堆砌	lit. to pile up
堆积	to pile up
堆积如山	to pile up like a mount…
堆积木	to play with stacking b…
堆肥	compost
堆芯	reactor core
堆金积玉	lit. pile up gold and j…
堆高机	forklift
堆高车	high-lift pallet truck
堆龙德庆	see 堆龍德慶區|堆龙德庆区
堆龙德庆区	Doilungdêqên
堇色	violet
堇菜	violet
堑壕	trench
堑壕战	trench warfare
堕云雾中	lit. to become lost in …
堕楼	to jump to one's death
堕胎	to induce an abortion
堕落	to degrade
堡垒	fort
堡垒机	bastion host
堡子	village or town surroun…
堡寨	fort
堤坝	dam
堤岸	embankment
堤防	dike
堪培拉	Canberra
堪察加	Kamchatka
堪察加半岛	Kamchatka Peninsula
堪忧	worrying
堪比	to be comparable to
堪称	can be rated as
堪舆	geomancy
堪萨斯	Kansas
堰塞湖	barrier lake
堵住	to block up
堵击	to intercept and attack
堵塞	to clog up
堵塞费	traffic congestion fee
堵截	to intercept
堵死	to block
堵车	traffic jam
塌下	to collapse
塌台	to collapse
塌房	to have one's reputatio…
塌方	to cave in
塌架	to collapse
塌棵菜	Brassica narinosa
塌陷	to subside
塑像	to sculpt or mold a sta…
塑化剂	plasticizer
塑封	to laminate
塑形	to shape
塑性	plasticity
塑料	plastic
塑料姐妹花	a pair of women whose s…
塑料普通话	bad or awkward Mandarin
塑料王	"super plastic"
塑料袋	plastic bag
塑胶	synthetic resin
塑胶袋	plastic bag
塑胶跑道	synthetic athletics tra…
塑身	body sculpting
塑造	to model
塑钢	acetal resin
塔什干	Tashkent
塔什库尔干	see 塔什庫爾干塔吉克自治縣|塔什库尔干塔吉…
塔什库尔干县	see 塔什庫爾干塔吉克自治縣|塔什库尔干塔吉…
塔什库尔干塔吉克自治县	Tashkurgan Tajik Autono…
塔克拉玛干	see 塔克拉瑪干沙漠|塔克拉玛干沙漠
塔克拉玛干沙漠	Taklamakan Desert
塔公	Lhagang grassland in Da…
塔公寺	Lhagang temple in Darts…
塔列朗	Talleyrand
塔利班	the Taliban
塔刹	Buddhist ornamentation …
塔加路族语	Tagalog
塔台	control tower
塔吉克	Tajik ethnic group
塔吉克人	Tajik
塔吉克斯坦	Tajikistan
塔吉克族	Tajik ethnic group
塔吊	tower crane
塔城	see 塔城地區|塔城地区
塔城地区	Tarbaĝatay
塔城市	Tacheng
塔塔儿	Tartar
塔塔儿人	Tartar
塔塔尔	Tatar ethnic group
塔塔尔族	Tatar ethnic group
塔塔粉	cream of tartar
塔夫绸	taffeta
塔尔寺	Kumbum Monastery in Qin…
塔尖	spire
塔崩	tabun
塔希提	Tahiti
塔拉哈西	Tallahassee
塔拉瓦	Tarawa
塔斯曼尼亚	Tasmania
塔斯曼尼亚岛	Tasmania
塔斯社	TASS
塔斯马尼亚	Tasmania
塔木德经	Talmud
塔林	Tallinn
塔楼	tower
塔河县	Tahe
塔玛尔	Tamar
塔瓦斯科	Tabasco
塔罗	tarot
塔罗卡	tarot card
塔罗牌	tarot card
塔迪奇	Tadich
塔那那利佛	Antananarivo
塔里木	the Tarim Basin in sout…
塔里木河	Tarim River of Xinjiang
塔里木盆地	Tarim Basin depression …
塔防	tower defense
塘堰	irrigation pond or dam
塘沽	Tanggu former district …
塘沽区	Tanggu former district …
塞万提斯	Miguel de Cervantes Saa…
塞内加尔	Senegal
塞勒姆	Salem
塞北	territories north of th…
塞哥维亚	Segovia
塞外	territories beyond the …
塞子	cork
塞尔特	Celtic
塞尔特语	Celtic language
塞尔维亚	Serbia
塞尔维亚克罗地亚语	Serbo-Croatian
塞尔维亚和黑山	Serbia and Montenegro
塞尔维亚语	Serbian
塞尔达	Zelda
塞巴斯蒂安	Sebastian
塞拉利昂	Sierra Leone
塞擦音	affricate
塞斯纳	Cessna
塞族	Serb ethnic group
塞浦路斯	Cyprus
塞满	to stuff full
塞牙	to get food stuck betwe…
塞瓦斯托波尔	Sevastopol
塞纳河	Seine
塞给	to slip sb sth
塞维利亚	Seville
塞缪尔	Samuel
塞翁失马	lit. the old man lost h…
塞翁失马安知非福	the old man lost his ma…
塞翁失马焉知非福	the old man lost his ma…
塞舌尔	the Seychelles
塞舌尔群岛	the Seychelles
塞责	to carry out one's duti…
塞车	traffic jam
塞韦里诺	Severino
塞音	plosive
填充	to fill up
填充剂	bulking agent
填充物	filler
填充题	fill-in-the-blank quest…
填写	to fill in a form
填堵	to stuff
填塞	to fill up
填塞物	stuffing
填字游戏	crossword
填房	second wife
填报	to fill in and submit
填料	packing material
填海	land reclamation
填满	to cram
填空	to fill a job vacancy
填补	to fill a gap
填表	to fill out a form
填词	to compose a poem
填饱	to feed to the full
填鸭	to force-feed ducks
填鸭式	force feeding
境内	within the borders
境内外	within and without the …
境况	circumstances
境地	circumstances
境域	territory
境外	outside  borders
境由心生	our mindset frames how …
境界	boundary
境遇	circumstance
墒情	the state of moisture i…
墓主	occupant of tomb
墓园	cemetery
墓地	cemetery
墓志	inscribed stone tablet …
墓志铭	epitaph
墓石	tombstone
墓碑	gravestone
墓穴	tomb
墓窖	catacomb
墓葬	grave
墓葬区	burial area
墓葬群	burial complex
墓道	path leading to a grave
墙倒众人推	lit. when a wall is abo…
墙垣	wall
墙壁	wall
墙头草	sb who goes whichever w…
墙报	wall newspaper
墙旮旯	recess between walls
墙根	foot of a wall
墙纸	wallpaper
墙角	corner
墙面	the surface of a wall
增三和弦	augmented triad
增产	to increase production
增值	to appreciate
增值税	value-added tax
增光	to add luster
增兵	to reinforce
增减	to add or subtract
增刊	additional publication
增删	add and delete
增加	to raise
增加值	value added
增压	to pressurize
增厚	to thicken
增城区	Zengcheng
增塑剂	plasticizer
增多	to increase
增大	to enlarge
增幅	growth rate
增广	to widen
增强	to increase
增强现实	augmented reality
增持	to increase one's holdi…
增援	to reinforce
增收	to increase revenue
增殖	growth
增殖反应堆	breeder reactor
增添	to add
增温层	thermosphere
增生	hyperplasia
增白剂	whitener
增益	to increase
增稠	to thicken
增稠剂	thickener
增色	to enrich
增补	to augment
增订	to revise and enlarge
增订本	revised and enlarged ed…
增设	to add to existing faci…
增资	capital increase
增进	to promote
增速	to speed up
增量	increment
增量参数	incremental parameter
增长	to grow
增长天	Virudhaka
增长率	growth rate
增高	to heighten
墟里	village
墨丘利	Mercury
墨刑	corporal punishment con…
墨子	Mozi
墨守成规	hidebound by convention
墨客	literary person
墨家	Mohist School of the Wa…
墨尔本	Melbourne
墨尔钵	see 墨爾本|墨尔本
墨斗	carpenter's straight li…
墨水	ink
墨水儿	erhua variant of 墨水
墨水屏	e-ink screen
墨水瓶架	inkstand
墨汁	prepared Chinese ink
墨江	see 墨江哈尼族自治縣|墨江哈尼族自治县
墨江县	see 墨江哈尼族自治縣|墨江哈尼族自治县
墨江哈尼族自治县	Mojiang Hani Autonomous…
墨渍	ink stain
墨玉	see 墨玉縣|墨玉县
墨玉县	Karakax
墨盒	ink cartridge
墨砚	ink slab
墨竹工卡	see 墨竹工卡縣|墨竹工卡县
墨竹工卡县	Maizhokunggar
墨笔	writing brush
墨粉	toner
墨索里尼	Benito Mussolini
墨累达令流域	Murray-Darling river sy…
墨线	inked line
墨绿	dark green
墨绿色	dark or deep green
